papipe_peak,papipe_umis
chr10_125157135_r,207
chr10_125157903_r,794
chr10_125159263_r,596
chr10_125159976_r,5973
chr10_125160560_f,25
chr10_125160850_r,54
chr10_125161713_f,82
chr10_125276702_r,2
chr10_12533082_f,1
chr10_125724089_f,516
chr10_125726507_f,63
chr10_125731184_f,238
chr10_125733006_f,23
chr10_125741669_f,102
chr10_125747452_f,37
chr10_125788586_r,1628
chr10_125836337_r,205
chr10_125836551_f,528
chr10_125837034_f,5
chr10_125853525_f,184
chr10_125856331_r,12
chr10_125859707_r,99
chr10_125868169_r,25
chr10_125879042_r,284
chr10_125892312_r,152
chr10_125894861_r,89
chr10_12595192_f,37
chr10_125963003_r,4
chr10_125981496_f,6
chr10_12606826_f,3
chr10_126666991_f,1
chr10_12678008_f,9
chr10_12694987_f,1
chr10_12708780_f,1
chr10_127374094_f,1
chr10_127923175_f,12
chr10_127942051_f,92
chr10_127960871_f,98
chr10_127982851_f,33
chr10_128041645_f,51
chr10_128048015_f,577
chr10_128049203_r,39
chr10_128050004_f,69
chr10_128050866_f,163
chr10_128051438_f,213
chr10_128053250_f,2621
chr10_128054019_f,102
chr10_128056200_f,2433
chr10_128063161_f,121
chr10_128069591_f,1215
chr10_128070972_f,22
chr10_128072657_f,989
chr10_128081159_f,79
chr10_128083134_f,764
chr10_128083800_f,372
chr10_128085855_f,848
chr10_128098631_r,64
chr10_128104185_r,79
chr10_128106485_r,123
chr10_128115958_r,215
chr10_129541543_f,6
chr10_129646525_f,1
chr10_129655616_f,54
chr10_129767107_f,1190
chr10_129786049_f,4
chr10_129791203_f,13
chr10_129797846_f,38
chr10_129834486_f,2
chr10_130018696_f,1
chr10_130154878_f,32
chr10_130179611_f,858
chr10_130180382_f,92
chr10_130408771_f,1
chr10_13099436_r,1
chr10_131208898_f,4
chr10_13121499_f,24
chr10_13136924_f,217
chr10_13157682_r,8
chr10_131902018_f,28
chr10_131904203_f,774
chr10_131908744_f,47
chr10_131909702_f,60
chr10_131912082_f,408
chr10_131913453_f,165
chr10_131915460_f,40
chr10_131915985_f,15
chr10_131922802_f,69
chr10_131930689_r,5
chr10_131934456_f,7
chr10_131940763_f,44
chr10_131951051_f,74
chr10_131956278_f,189
chr10_131956555_f,257
chr10_131959829_f,30
chr10_131970915_r,9
chr10_13217332_f,50
chr10_132207493_r,137
chr10_132330291_r,82
chr10_132331744_r,23
chr10_132349056_f,2
chr10_132373141_r,5
chr10_132394872_r,10
chr10_132426047_r,82
chr10_132432757_r,168
chr10_132449412_f,114
chr10_132472496_r,1
chr10_132560508_f,13
chr10_132561295_f,16
chr10_132568189_f,293
chr10_132568607_f,257
chr10_132568934_r,55
chr10_132570245_f,3
chr10_132583563_f,157
chr10_132588012_f,313
chr10_132592706_f,3
chr10_132593397_f,61
chr10_132613911_f,11
chr10_132645884_f,6
chr10_132666053_f,171
chr10_132692268_f,127
chr10_132727343_f,107
chr10_132761942_f,29
chr10_13277800_r,200
chr10_13283149_r,17
chr10_13302873_f,381
chr10_13318975_r,234
chr10_133231558_f,224
chr10_133236025_f,24
chr10_133239654_f,6
chr10_133240562_r,213
chr10_133240880_f,341
chr10_133241927_f,328
chr10_133262423_r,98
chr10_133279644_r,765
chr10_133290911_r,49
chr10_133294635_r,605
chr10_133307064_f,4
chr10_133313161_f,1115
chr10_133343566_r,10
chr10_133355166_r,393
chr10_133362480_r,2379
chr10_133391692_f,49
chr10_133400191_f,1658
chr10_133408861_f,5
chr10_133420512_f,477
chr10_133422520_f,54
chr10_133572740_f,61
